"factory_cd","delivery_key","delivery_date","delivery_time","delivery_order","block_cd","delivery_location","inventory_code","comment","approver","result","update_date","plan_date","plan_time","part_no","dim","supplier_cd","ratio","class","logic","cd_sply_fact"
"HT","2307060002","20260318","0900","20.00","4100","HTA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1000","QC9-1195-000","000","X411","100.00","M/C","3","00"
"HT","2483690008","20260318","0800","40.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","0900","FL1-3631-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","0800","15.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","0900","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1000","10.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1000","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1000","10.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1100","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1300","10.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1300","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1300","15.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1400","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1500","10.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1600","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","1500","15.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1500","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2658810005","20260318","2000","5.00","4100","MHA6",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","2000","QC5-9419-000","000","SAPN","100.00","M/C","3","00"
"HT","2659470006","20260318","1500","100.00","4100","HTA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1600","QC8-0994-000","000","SAPN","100.00","M/C","3","00"
"HT","2701630000","20260318","1100","100.00","2300","MHA2",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1500","FE2-A019-000","000","P181","100.00","M/C","3","00"
"HT","2701830001","20260318","1100","200.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0200","FE3-6714-000","000","P181","100.00","M/C","3","00"
"HT","2701910003","20260318","1100","80.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1500","FE3-7002-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","16.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0100","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","16.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0400","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","16.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0800","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","16.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","1000","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","24.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0200","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","24.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0300","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701960005","20260318","1100","40.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0900","FE3-7280-000","000","P181","100.00","M/C","3","00"
"HT","2701970001","20260318","1100","20.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1100","FE3-7458-000","000","P181","100.00","M/C","3","00"
"HT","2701970001","20260318","1100","20.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1300","FE3-7458-000","000","P181","100.00","M/C","3","00"
"HT","2701970001","20260318","1100","20.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1400","FE3-7458-000","000","P181","100.00","M/C","3","00"
"HT","2701970001","20260318","1100","20.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1600","FE3-7458-000","000","P181","100.00","M/C","3","00"
"HT","2702180009","20260318","1100","10.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1100","FL0-2075-000","000","P181","100.00","M/C","3","00"
"HT","2702180009","20260318","1100","10.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1300","FL0-2075-000","000","P181","100.00","M/C","3","00"
"HT","2702180009","20260318","1100","10.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1500","FL0-2075-000","000","P181","100.00","M/C","3","00"
"HT","2702180009","20260318","1100","10.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260319","0800","FL0-2075-000","000","P181","100.00","M/C","3","00"
"HT","2702180009","20260318","1100","20.00","2300","MHA1",NULL,NULL,NULL,"WF0000","2026-03-13 00:00:00","20260318","1400","FL0-2075-000","000","P181","100.00","M/C","3","00"
